Iteration 1/100, Best Fitness: 16.000298146283963
Iteration 2/100, Best Fitness: 6.403219017390525
Iteration 3/100, Best Fitness: 4.098327734107719
Iteration 4/100, Best Fitness: 2.5243027301238017
Iteration 5/100, Best Fitness: 1.4352345693431295
Iteration 6/100, Best Fitness: 1.142831446125238
Iteration 7/100, Best Fitness: 1.0705299233942785
Iteration 8/100, Best Fitness: 0.996246246870411
Iteration 9/100, Best Fitness: 0.9251569439255233
Iteration 10/100, Best Fitness: 0.8081435096396013
Iteration 11/100, Best Fitness: 0.7252920566693103
Iteration 12/100, Best Fitness: 0.6490534722664795
Iteration 13/100, Best Fitness: 0.6127578954263723
Iteration 14/100, Best Fitness: 0.5416457601497655
Iteration 15/100, Best Fitness: 0.5103730592213035
Iteration 16/100, Best Fitness: 0.4818180640277364
Iteration 17/100, Best Fitness: 0.4322633846531878
Iteration 18/100, Best Fitness: 0.38221659962863257
Iteration 19/100, Best Fitness: 0.3180929535071321
Iteration 20/100, Best Fitness: 0.25472478583470947
Iteration 21/100, Best Fitness: 0.2392861981259818
Iteration 22/100, Best Fitness: 0.20011813422668043
Iteration 23/100, Best Fitness: 0.15282737846189414
Iteration 24/100, Best Fitness: 0.11521916799998256
Iteration 25/100, Best Fitness: 0.08610454307170995
Iteration 26/100, Best Fitness: 0.07631433497091351
Iteration 27/100, Best Fitness: 0.06963247991109679
Iteration 28/100, Best Fitness: 0.06231856718990557
Iteration 29/100, Best Fitness: 0.06102452039226933
Iteration 30/100, Best Fitness: 0.05519121809743899
Iteration 31/100, Best Fitness: 0.04626574114204753
Iteration 32/100, Best Fitness: 0.043970728167261545
Iteration 33/100, Best Fitness: 0.03743632560498819
Iteration 34/100, Best Fitness: 0.03416292253657726
Iteration 35/100, Best Fitness: 0.030758451050794556
Iteration 36/100, Best Fitness: 0.02518975515014928
Iteration 37/100, Best Fitness: 0.020617390537251307
Iteration 38/100, Best Fitness: 0.01877456312844676
Iteration 39/100, Best Fitness: 0.017311021304982717
Iteration 40/100, Best Fitness: 0.01635109929562886
Iteration 41/100, Best Fitness: 0.01488768415255773
Iteration 42/100, Best Fitness: 0.01352091156108489
Iteration 43/100, Best Fitness: 0.01264308048129415
Iteration 44/100, Best Fitness: 0.010889309369095298
Iteration 45/100, Best Fitness: 0.009479032221454024
Iteration 46/100, Best Fitness: 0.008504840819942029
Iteration 47/100, Best Fitness: 0.008347425370614227
Iteration 48/100, Best Fitness: 0.007191406785471968
Iteration 49/100, Best Fitness: 0.006681300917423588
Iteration 50/100, Best Fitness: 0.006070312800027448
Iteration 51/100, Best Fitness: 0.005395593479662549
Iteration 52/100, Best Fitness: 0.004832490624426031
Iteration 53/100, Best Fitness: 0.003861187568561727
Iteration 54/100, Best Fitness: 0.003086374231073491
Iteration 55/100, Best Fitness: 0.0023939025175575567
Iteration 56/100, Best Fitness: 0.001867484949660313
Iteration 57/100, Best Fitness: 0.0017360149384284857
Iteration 58/100, Best Fitness: 0.0013168882343547427
Iteration 59/100, Best Fitness: 0.001129272527775939
Iteration 60/100, Best Fitness: 0.001057671015264152
Iteration 61/100, Best Fitness: 0.0008700163005741285
Iteration 62/100, Best Fitness: 0.000825022093266563
Iteration 63/100, Best Fitness: 0.0007055153364976031
Iteration 64/100, Best Fitness: 0.0005869879291218055
Iteration 65/100, Best Fitness: 0.0005642978350655693
Iteration 66/100, Best Fitness: 0.0004360671855182083
Iteration 67/100, Best Fitness: 0.00037895027952415345
Iteration 68/100, Best Fitness: 0.00034641915021965025
Iteration 69/100, Best Fitness: 0.00032895772027785047
Iteration 70/100, Best Fitness: 0.00026927801859874457
Iteration 71/100, Best Fitness: 0.00022150825232013226
Iteration 72/100, Best Fitness: 0.00021622706516140856
Iteration 73/100, Best Fitness: 0.00018659207761250204
Iteration 74/100, Best Fitness: 0.00015791914138487672
Iteration 75/100, Best Fitness: 0.00014105701021914912
Iteration 76/100, Best Fitness: 0.0001252955431887033
Iteration 77/100, Best Fitness: 0.00010303298338308473
Iteration 78/100, Best Fitness: 9.504481914146528e-05
Iteration 79/100, Best Fitness: 8.177106204286274e-05
Iteration 80/100, Best Fitness: 7.554350771954436e-05
Iteration 81/100, Best Fitness: 6.14445623826821e-05
Iteration 82/100, Best Fitness: 5.085623248849513e-05
Iteration 83/100, Best Fitness: 4.217994107277757e-05
Iteration 84/100, Best Fitness: 3.978694286621634e-05
Iteration 85/100, Best Fitness: 3.4329477029244255e-05
Iteration 86/100, Best Fitness: 2.6528348282914165e-05
Iteration 87/100, Best Fitness: 2.2413020973958186e-05
Iteration 88/100, Best Fitness: 1.8751953204387192e-05
Iteration 89/100, Best Fitness: 1.7538386363749195e-05
Iteration 90/100, Best Fitness: 1.3930923660975402e-05
Iteration 91/100, Best Fitness: 1.2661858772192112e-05
Iteration 92/100, Best Fitness: 1.103305319929381e-05
Iteration 93/100, Best Fitness: 9.810552532072755e-06
Iteration 94/100, Best Fitness: 8.55618235379461e-06
Iteration 95/100, Best Fitness: 7.612888986351746e-06
Iteration 96/100, Best Fitness: 6.812226850343926e-06
Iteration 97/100, Best Fitness: 6.272274876169548e-06
Iteration 98/100, Best Fitness: 5.290111818084545e-06
Iteration 99/100, Best Fitness: 4.8287912264557975e-06
Iteration 100/100, Best Fitness: 4.037598232695142
